exhibition_id,exhibition_title,institution,city,country,category,importance,title,start_date,end_date,artists,curators,status,image_url,source_url,exhibitions_url,website,crawler,scraped_at,updated_at,fetch_status,error_detail,pulse_label,score,reason,human_review_status
hamburger-bahnhof-about-us-unknown,About Us,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,About Us,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=576.",pending
hamburger-bahnhof-collection-research-unknown,Collection & Research,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Collection & Research,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=577.",pending
hamburger-bahnhof-current-unknown,Current,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Current,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=575.",pending
hamburger-bahnhof-preview-unknown,Preview,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Preview,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=575.",pending
hamburger-bahnhof-archive-unknown,Archive,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Archive,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=575.",pending
hamburger-bahnhof-catalogue-series-unknown,Catalogue Series,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Catalogue Series,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=576.",pending
hamburger-bahnhof-education-outreach-unknown,Education & Outreach,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Education & Outreach,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=577.",pending
hamburger-bahnhof-plan-your-visit-unknown,Plan Your Visit,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Plan Your Visit,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=577.",pending
hamburger-bahnhof-public-events-unknown,Public Events,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Public Events,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=576.",pending
neue-nationalgalerie-neue-nationalgalerie-unknown,Neue Nationalgalerie,Neue Nationalgalerie,Berlin,Germany,museum,global,Neue Nationalgalerie,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=560.",pending
