id,name,city,country,address,category,importance,website,exhibitions_url,title,start_date,end_date,artists,curators,status,image_url,source_url,crawler,scraped_at,updated_at
hamburger-bahnhof-archive-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Archive,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-catalogue-series-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Catalogue Series,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-collection-research-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Collection & Research,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-current-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Current,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-education-outreach-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Education & Outreach,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-events-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Events,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-exhibitions-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Exhibitions,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Hamburger Bahnhof – Nationalgalerie der Gegenwart,,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-a-thousand-t-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Hamburger Bahnhof – Nationalgalerie der Gegenwart A Thousand Times Berlin The Collection Hamburger Bahnhof – Nationalgalerie der Gegenwart,,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-chanel-commi-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Hamburger Bahnhof – Nationalgalerie der Gegenwart CHANEL Commission: Lina Lapelytė. We Make Years Out of Hours,,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
